"Plot Title: Zegveld 2"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 20143715, SEN S/N: 20143715)","Intensity, Lux (LGR S/N: 20143715, SEN S/N: 20143715)","Coupler Detached (LGR S/N: 20143715)","End Of File (LGR S/N: 20143715)"
165,06/06/18 09:40:09 AM,22.238,0.0,,
166,06/06/18 09:40:39 AM,22.238,0.0,,
167,06/06/18 09:41:09 AM,22.238,0.0,,
168,06/06/18 09:41:39 AM,22.238,0.0,,
169,06/06/18 09:42:09 AM,22.238,0.0,,
170,06/06/18 09:42:39 AM,22.238,0.0,,
171,06/06/18 09:43:09 AM,22.142,0.0,,
172,06/06/18 09:43:39 AM,22.142,0.0,,
173,06/06/18 09:44:09 AM,22.142,0.0,,
174,06/06/18 09:44:39 AM,22.142,0.0,,
175,06/06/18 09:45:09 AM,22.142,0.0,,
176,06/06/18 09:45:39 AM,22.142,0.0,,
177,06/06/18 09:46:09 AM,22.046,0.0,,
178,06/06/18 09:46:39 AM,22.046,0.0,,
179,06/06/18 09:47:09 AM,22.046,86.1,,
180,06/06/18 09:47:39 AM,22.046,43.1,,
181,06/06/18 09:48:09 AM,22.046,43.1,,
182,06/06/18 09:48:39 AM,21.951,43.1,,
183,06/06/18 09:49:09 AM,21.951,43.1,,
184,06/06/18 09:49:39 AM,21.951,43.1,,
185,06/06/18 09:50:09 AM,21.951,43.1,,
186,06/06/18 09:50:39 AM,21.951,43.1,,
187,06/06/18 09:51:09 AM,21.855,43.1,,
188,06/06/18 09:51:39 AM,21.855,43.1,,
189,06/06/18 09:52:09 AM,21.855,43.1,,
190,06/06/18 09:52:39 AM,21.855,43.1,,
191,06/06/18 09:53:09 AM,21.855,43.1,,
192,06/06/18 09:53:39 AM,21.855,43.1,,
193,06/06/18 09:54:09 AM,21.855,43.1,,
194,06/06/18 09:54:39 AM,21.855,43.1,,
195,06/06/18 09:55:09 AM,21.855,43.1,,
196,06/06/18 09:55:39 AM,21.855,43.1,,
197,06/06/18 09:56:09 AM,21.855,43.1,,
198,06/06/18 09:56:39 AM,21.855,43.1,,
199,06/06/18 09:57:09 AM,21.855,43.1,,
200,06/06/18 09:57:39 AM,21.855,43.1,,
201,06/06/18 09:58:09 AM,21.855,43.1,,
202,06/06/18 09:58:39 AM,21.951,43.1,,
203,06/06/18 09:59:09 AM,21.951,43.1,,
204,06/06/18 09:59:39 AM,21.951,43.1,,
205,06/06/18 10:00:09 AM,21.951,43.1,,
206,06/06/18 10:00:39 AM,21.951,43.1,,
207,06/06/18 10:01:09 AM,21.951,43.1,,
208,06/06/18 10:01:39 AM,21.951,43.1,,
209,06/06/18 10:02:09 AM,21.951,0.0,,
210,06/06/18 10:02:39 AM,21.951,0.0,,
211,06/06/18 10:03:09 AM,21.951,0.0,,
212,06/06/18 10:03:39 AM,21.951,0.0,,
213,06/06/18 10:04:09 AM,21.951,0.0,,
214,06/06/18 10:04:39 AM,22.046,0.0,,
215,06/06/18 10:05:09 AM,22.046,0.0,,
216,06/06/18 10:05:39 AM,22.046,0.0,,
217,06/06/18 10:06:09 AM,22.046,0.0,,
218,06/06/18 10:06:39 AM,22.046,0.0,,
219,06/06/18 10:07:09 AM,22.046,0.0,,
220,06/06/18 10:07:39 AM,22.046,0.0,,
221,06/06/18 10:08:09 AM,22.046,0.0,,
222,06/06/18 10:08:39 AM,22.046,0.0,,
223,06/06/18 10:09:09 AM,22.046,0.0,,
224,06/06/18 10:09:39 AM,22.046,0.0,,
225,06/06/18 10:10:09 AM,22.046,0.0,,
226,06/06/18 10:10:39 AM,22.046,0.0,,
227,06/06/18 10:11:09 AM,21.951,0.0,,
228,06/06/18 10:11:39 AM,21.951,0.0,,
